arquivo,ano,mes,uf,n_registros,n_colunas_fonte,n_colunas_parquet,hash_md5,tamanho_bytes,data_processamento,pipeline_version,git_commit
SPAC9706.dbc,1997,06,AC,7852,16,16,920e401e31469d8ab6724d32a8eb450b,93948,2026-08-18 04:00:30.771585,1.2.0,2cd41fb8fe145e88eb32b157372ff6893f5c22bb
SPAL9706.dbc,1997,06,AL,58748,16,16,f432292d34ed85f95098bb39b4c4a827,702543,2026-08-18 04:00:31.187232,1.2.0,2cd41fb8fe145e88eb32b157372ff6893f5c22bb
SPAM9706.dbc,1997,06,AM,29991,16,16,9af596d79b21bfa886502db2434b563c,318870,2026-08-18 04:00:31.424154,1.2.0,2cd41fb8fe145e88eb32b157372ff6893f5c22bb
SPAP9706.dbc,1997,06,AP,5991,16,16,3fe899722eb8abdfaedc6ffe00268e1f,64210,2026-08-18 04:00:31.540081,1.2.0,2cd41fb8fe145e88eb32b157372ff6893f5c22bb
SPBA9706.dbc,1997,06,BA,285990,16,16,9fc78c3d479c7e80bd828abb7e189976,3209378,2026-08-18 04:00:33.344158,1.2.0,2cd41fb8fe145e88eb32b157372ff6893f5c22bb
SPCE9706.dbc,1997,06,CE,166021,16,16,3ebb4c127cc5affc471786b6ed2c44e4,1905467,2026-08-18 04:00:34.341791,1.2.0,2cd41fb8fe145e88eb32b157372ff6893f5c22bb
SPDF9706.dbc,1997,06,DF,78069,16,16,6e1b22547c0970edd74cd9c18039ed3b,824019,2026-08-18 04:00:34.867674,1.2.0,2cd41fb8fe145e88eb32b157372ff6893f5c22bb
SPES9706.dbc,1997,06,ES,75881,16,16,858456a96bd5d47913dbd8b5d793bbd9,894833,2026-08-18 04:00:35.416945,1.2.0,2cd41fb8fe145e88eb32b157372ff6893f5c22bb
SPGO9706.dbc,1997,06,GO,123176,16,16,e6b9d4a33a4f7e0b9c51735f6b7c22a6,1435767,2026-08-18 04:00:36.190335,1.2.0,2cd41fb8fe145e88eb32b157372ff6893f5c22bb
SPMA9706.dbc,1997,06,MA,111495,16,16,2ebde3155c42e2e92c8d8909335070db,1167804,2026-08-18 04:00:36.914782,1.2.0,2cd41fb8fe145e88eb32b157372ff6893f5c22bb
